stock_id,company_name,date,filename,note
000502,绿景控股,2015年,绿景控股(000502.SZ)_2016-03-10.pdf,无研发收入或解析错误
002293,罗莱生活,2017年,罗莱生活(002293.SZ)_2018-04-26.pdf,无研发收入或解析错误
000637,茂化实华,2017年,茂化实华(000637.SZ)_2018-04-24.pdf,无研发收入或解析错误
000333,美的集团,2015年,美的集团(000333.SZ)_2016-04-19.pdf,无研发收入或解析错误
000333,美的集团,2016年,美的集团(000333.SZ)_2017-04-25.pdf,无研发收入或解析错误
000333,美的集团,2017年,美的集团(000333.SZ)_2018-04-24.pdf,无研发收入或解析错误
000333,美的集团,2018年,美的集团(000333.SZ)_2019-04-20.pdf,无研发收入或解析错误
000723,美锦能源,2015年,美锦能源(000723.SZ)_2016-06-28.pdf,无研发收入或解析错误
000723,美锦能源,2017年,美锦能源(000723.SZ)_2018-04-03.pdf,无研发收入或解析错误
000723,美锦能源,2018年,美锦能源(000723.SZ)_2019-03-18.pdf,无研发收入或解析错误
002553,南方轴承,2015年,南方轴承(002553.SZ)_2016-04-18.pdf,无研发收入或解析错误
002215,诺 普 信,2015年,诺 普 信(002215.SZ)_2016-04-06.pdf,无研发收入或解析错误
002550,千红制药,2015年,千红制药(002550.SZ)_2016-04-26.pdf,无研发收入或解析错误
300132,青松股份,2018年,青松股份(300132.SZ)_2019-02-27.pdf,无研发收入或解析错误
300437,清水源,2016年,清水源(300437.SZ)_2017-04-26.pdf,无研发收入或解析错误
002790,瑞尔特,2017年,瑞尔特(002790.SZ)_2018-04-17.pdf,无研发收入或解析错误
002780,三夫户外,2015年,三夫户外(002780.SZ)_2016-04-26.pdf,无研发收入或解析错误
002555,三七互娱,2016年,三七互娱(002555.SZ)_2017-03-15.pdf,无研发收入或解析错误
002555,三七互娱,2017年,三七互娱(002555.SZ)_2018-04-24.pdf,无研发收入或解析错误
002312,三泰控股,2017年,三泰控股(002312.SZ)_2018-04-04.pdf,无研发收入或解析错误
002469,三维工程,2016年,三维工程(002469.SZ)_2017-02-28.pdf,无研发收入或解析错误
300056,三维丝,2017年,三维丝(300056.SZ)_2018-04-03.pdf,无研发收入或解析错误
300056,三维丝,2017年,三维丝(300056.SZ)_2018-11-08.pdf,无研发收入或解析错误
002490,山东墨龙,2017年,山东墨龙(002490.SZ)_2018-03-30.pdf,无研发收入或解析错误
002490,山东墨龙,2017年,山东墨龙(002490.SZ)_2018-04-13.pdf,无研发收入或解析错误
000812,陕西金叶,2015年,陕西金叶(000812.SZ)_2016-03-05.pdf,无研发收入或解析错误
000018,神城A退,2015年,神城A退(000018.SZ)_2016-04-15.pdf,无研发收入或解析错误
000018,神城A退,2016年,神城A退(000018.SZ)_2017-04-28.pdf,无研发收入或解析错误
000018,神城A退,2017年,神城A退(000018.SZ)_2018-04-25.pdf,无研发收入或解析错误
000018,神城A退,2017年,神城A退(000018.SZ)_2018-08-15.pdf,无研发收入或解析错误
300189,神农科技,2017年,神农科技(300189.SZ)_2018-04-24.pdf,无研发收入或解析错误
