,,,,,,,,,,,,,,,,,,,,,,71.0,易果生鲜,12.0,电子商务,2007.0,上海,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,71.0,易生金服,12.0,互联网金融,2011.0,北京,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,71.0,猫眼电影,12.0,文化娱乐,2012.0,北京,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,71.0,ETCP停车,12.0,交通出行,2012.0,北京,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,71.0,新达达,12.0,物流,2016.0,上海,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,76.0,分期乐,11.8,互联网金融,2014.0,深圳,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,77.0,360企业安全,11.6,网络安全,2014.0,北京,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,78.0,百望云,11.2,云服务,2015.0,北京,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,79.0,金山云,11.1,云服务,2011.0,北京,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,80.0,乐视云,10.8,云服务,2014.0,北京,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,80.0,沪江网校,10.8,互联网教育,2015.0,上海,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,82.0,要出发,10.6,旅游,2011.0,广州,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,83.0,玖富,10.0,互联网金融,2006.0,北京,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,83.0,猎聘网,10.0,企业服务,2006.0,北京,,,,,,,,,
,,,,,,,,,电子商务,,上海,,,,,,,,,2007.0,,,,,,,,83.0,波奇网,10.0,,,,,,
,,,,,,,,,互联网教育,,北京,,,,,,,,,2008.0,,,,,,,,83.0, VIPABC,10.0,,,,,,
,,,,,,,,,企业服务,,北京,,,,,,,,,2008.0,,,,,,,,83.0,纷享逍客,10.0,,,,,,
,,,,,,,,,大数据,,北京,,,,,,,,,2008.0,,,,,,,,83.0,亿赞普,10.0,,,,,,
,,,,,,,,,文化娱乐,,北京,,,,,,,,,2008.0,,,,,,,,83.0,掌阅科技,10.0,,,,,,
,,,,,,,,,电子商务,,北京,,,,,,,,,2009.0,,,,,,,,83.0,我买网,10.0,,,,,,
,,,,,,,,,交通出行,,北京,,,,,,,,,2010.0,,,,,,,,83.0,易到用车,10.0,,,,,,
,,,,,,,,,电子商务,,北京,,,,,,,,,2010.0,,,,,,,,83.0,车易拍,10.0,,,,,,
